address,first_seen,label,source
0x3aac1cc67c2ec5db4ea850957b967ba153ad6279,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x76d85b4c0fc497eecc38902397ac608000a06607,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x0e3a09dda6b20afbb34ac7cd4a6881493f3e7bf7,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x723b78e67497e85279cb204544566f4dc5d2aca0,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xcc84179ffd19a1627e79f8648d09e095252bc418,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x6bf694a291df3fec1f7e69701e3ab6c592435ae7,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x330bdfade01ee9bf63c209ee33102dd334618e0a,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xa5c2254e4253490c54cef0a4347fddb8f75a4998,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xaf4c0b70b2ea9fb7487c7cbb37ada259579fe040,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xdf231d99ff8b6c6cbf4e9b9a945cbacef9339178,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x1e34a77868e19a6647b1f2f47b51ed72dede95dd,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xd47438c816c9e7f2e2888e060936a499af9582b3,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0x84443cfd09a48af6ef360c6976c5392ac5023a1f,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
0xd5d6f8d9e784d0e26222ad3834500801a68d027d,2022-11-08,Tornado Cash,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20221108
